ID,Product Name,Category,Quantity,Unit Price,Sale Date,Store
1,Milk,Household,,,13-07-2023,Store B
2,Eggs,,10.0,2.0,10-07-2023,Store A
3,,Dairy,,-2.5,01-07-2023,Store A
4,Apples,Produce,10.0,,02-07-2023,Store A
5,Milk,Dairy,3.0,1.5,nan,Store C
6,Bread,Bakery,5.0,3.75,2023/07/15,Store C
7,Eggs,,10.0,1.5,2023/07/15,Store B
8,Cheese,Household,,,23-07-2023,Store C
9,Eggs,Dairy,10.0,,nan,Store A
10,Milk,Dairy,10.0,,nan,Store B
11,Bread,Household,1.0,3.75,08-07-2023,Store A
12,Milk,Dairy,,3.75,31-07-2023,Store C
13,Bread,Fruits,10.0,,nan,Store B
14,Butter,Household,,2.0,15-07-2023,Store A
15,,Household,,1.5,nan,Store B
16,Butter,Produce,10.0,3.75,nan,Store A
17,Eggs,Fruits,10.0,3.75,2023/07/15,Store B
18,Cheese,,5.0,-2.5,27-07-2023,Store A
19,Eggs,Household,3.0,,07-11-2023,Store A
20,Soap,Dairy,0.0,1.5,29-07-2023,Store C
21,,,3.0,2.0,2023/07/15,Store B
22,Soap,Dairy,,,30-07-2023,Store A
23,Bread,Bakery,1.0,1.5,14-07-2023,Store A
24,Cheese,,,0.0,nan,Store C
25,Bread,Bakery,,0.0,17-07-2023,Store A
26,Bread,Dairy,5.0,,nan,Store C
27,Milk,Household,10.0,1.5,07-07-2023,Store A
28,Soap,Bakery,10.0,3.75,09-07-2023,Store A
29,Cheese,,3.0,,15-07-2023,Store B
30,Eggs,Produce,0.0,2.0,15-07-2023,Store A
